Query_ID,Query_Timestamp,Day_of_Week,Hour_of_Day,Pickup_Hub,Drop_Hub,Base_Distance_KM,Est_Ride_Duration_Min,Traffic_Condition,Weather_Condition,User_Device_OS,Device_Model_Tier,Battery_Level_Pct,App_Open_Count_Last_1hr,User_Account_Tenure_Months,Historical_Acceptance_Rate,Legal_Meter_Fare_INR,Surge_Multiplier_Applied,App_Quoted_Fare_INR,Competitor_Price_Diff_INR,Final_Ride_Status
c141468e,18-03-2026 11:55,2,11,Whitefield,Bellandur,8.9,43,Free-Flow,Heavy Downpour,Android,Mid-Range,86,2,46,0.54,133.5,1.45,194,21,User_Abandoned_App
3d5a121b,05-08-2026 00:08,2,0,Electronic City,Marathahalli,10.7,29,Light,Clear,Android,Budget,7,3,42,0.9,160.5,1.09,175,-20,Ride_Accepted
12a7d1d7,06-08-2026 17:29,3,17,Koramangala,Peenya,12,77,Heavy,Light Rain,Android,Budget,50,1,9,0.83,180,1.24,224,-8,User_Abandoned_App
fb11b289,23-05-2026 07:12,5,7,Peenya,Malleshwaram,3.9,10,Free-Flow,Clear,iOS,Premium,53,2,1,0.35,58.5,1.16,68,11,Ride_Accepted
eb5ac282,19-06-2026 09:29,4,9,Electronic City,Koramangala,15.1,117,Gridlock,Clear,Android,Mid-Range,57,9,13,0.85,226.5,1.52,345,-22,Ride_Accepted
1f4d27e5,17-08-2026 09:14,0,9,Koramangala,Hebbal,18.7,135,Gridlock,Light Rain,Android,Mid-Range,12,5,42,0.89,280.5,1.86,521,-44,User_Abandoned_App
2684b093,28-06-2026 11:28,6,11,Bellandur,Malleshwaram,18.3,58,Free-Flow,Clear,Android,Premium,50,2,9,0.5,274.5,1.09,299,-23,Ride_Accepted
a19a9f43,18-08-2026 17:23,1,17,Bellandur,Indiranagar,15.3,114,Gridlock,Clear,Android,Budget,50,2,35,0.9,229.5,1.52,349,-22,Ride_Accepted
23e397f3,14-05-2026 15:42,3,15,Malleshwaram,Whitefield,8,27,Free-Flow,Clear,Android,Premium,100,2,25,0.68,120,1.19,143,6,Ride_Accepted
f8ace70a,03-05-2026 15:13,6,15,Electronic City,Koramangala,5.9,24,Free-Flow,Clear,Android,Mid-Range,88,2,41,0.9,88.5,1.12,99,8,User_Abandoned_App
b1a55292,10-03-2026 19:43,1,19,Bellandur,Peenya,16.8,105,Heavy,Clear,Android,Premium,51,1,37,0.64,252,1.48,372,-21,Ride_Accepted
ee790464,17-06-2026 05:59,2,5,Koramangala,Malleshwaram,7.5,36,Moderate,Light Rain,Android,Budget,57,1,15,0.5,112.5,0.9,101,5,Ride_Accepted
c8d19672,03-05-2026 06:35,6,6,Malleshwaram,Bellandur,11.6,54,Moderate,Light Rain,iOS,Premium,48,3,12,0.55,174,1.13,197,-28,User_Abandoned_App
136e259d,01-06-2026 04:01,0,4,Koramangala,Whitefield,5.7,23,Light,Clear,Android,Budget,68,2,44,0.9,85.5,0.97,83,-11,Ride_Accepted
1e6174ac,11-05-2026 08:00,0,8,Malleshwaram,Hebbal,2.9,24,Gridlock,Clear,Android,Premium,39,4,27,0.9,43.5,1.64,71,3,Cancelled_By_Driver
f51fba42,27-06-2026 06:28,5,6,Electronic City,Marathahalli,19.4,82,Moderate,Light Rain,iOS,Premium,71,3,27,0.67,291,1.04,304,-14,Cancelled_By_Driver
61ad9d97,07-06-2026 09:40,6,9,Peenya,Malleshwaram,25.3,180,Gridlock,Light Rain,Android,Mid-Range,100,5,35,0.9,379.5,1.43,544,-4,User_Abandoned_App
715f530e,14-05-2026 13:29,3,13,Marathahalli,Indiranagar,4.3,19,Free-Flow,Heavy Downpour,iOS,Premium,75,6,46,0.68,64.5,1.59,103,23,Ride_Accepted
b8b8431f,23-08-2026 06:54,6,6,Hebbal,Marathahalli,6.5,21,Moderate,Clear,iOS,Premium,55,5,6,0.72,97.5,1.12,109,-9,Ride_Accepted
c0a08ba7,29-06-2026 06:47,0,6,Peenya,Bellandur,20.8,63,Light,Clear,Android,Budget,87,2,4,0.68,312,0.9,281,-25,Ride_Accepted
58c028e3,08-08-2026 14:44,5,14,HSR Layout,Indiranagar,6.7,33,Moderate,Clear,Android,Mid-Range,13,1,6,0.59,100.5,1.04,104,18,Ride_Accepted
517b4dfd,27-07-2026 08:02,0,8,Koramangala,Peenya,7.8,50,Heavy,Clear,Android,Premium,9,1,23,0.9,117,1.58,185,10,Ride_Accepted
eb228b2c,23-05-2026 08:14,5,8,HSR Layout,Whitefield,9.1,47,Heavy,Light Rain,Android,Budget,37,2,33,0.9,136.5,1.3,178,11,User_Abandoned_App
345653a1,14-07-2026 08:06,1,8,Peenya,HSR Layout,16.3,118,Gridlock,Clear,iOS,Premium,68,3,31,0.9,244.5,1.69,412,-2,Ride_Accepted
1f93ff36,24-04-2026 08:33,4,8,Malleshwaram,Peenya,19.9,143,Gridlock,Clear,iOS,Premium,94,5,44,0.9,298.5,1.63,486,29,Ride_Accepted
a951cdb7,02-06-2026 14:21,1,14,Hebbal,Indiranagar,19.9,63,Free-Flow,Clear,Android,Budget,8,2,12,0.88,298.5,1.03,307,-82,Ride_Accepted
53e06b0c,28-07-2026 06:39,1,6,Hebbal,Malleshwaram,13.4,61,Moderate,Clear,Android,Premium,98,2,14,0.32,201,1.2,241,1,Ride_Accepted
9c1d4c2a,15-04-2026 08:14,2,8,Whitefield,Bellandur,13.5,81,Heavy,Clear,Android,Mid-Range,82,3,3,0.66,202.5,1.32,268,-6,Ride_Accepted
044b53f0,10-06-2026 21:13,2,21,Hebbal,Malleshwaram,14.5,75,Free-Flow,Heavy Downpour,iOS,Premium,80,10,42,0.73,217.5,1.56,340,-30,Ride_Accepted
9d47591a,05-07-2026 09:09,6,9,Marathahalli,Koramangala,6.7,52,Gridlock,Light Rain,Android,Premium,82,6,21,0.9,100.5,1.78,178,-9,User_Abandoned_App
ba2c4e4b,15-05-2026 12:13,4,12,Hebbal,Koramangala,12.5,60,Moderate,Clear,iOS,Mid-Range,53,3,1,0.39,187.5,1,188,-25,Ride_Accepted
498a552b,10-03-2026 08:18,1,8,Peenya,Koramangala,6,38,Heavy,Clear,iOS,Premium,58,1,43,0.58,90,1.35,121,28,User_Abandoned_App
9c81d136,24-07-2026 17:37,4,17,Whitefield,HSR Layout,11.7,65,Heavy,Clear,iOS,Premium,94,3,40,0.68,175.5,1.26,220,-9,User_Abandoned_App
bafcf7b8,15-07-2026 12:28,2,12,Peenya,Indiranagar,4.8,15,Free-Flow,Clear,iOS,Premium,73,4,20,0.9,72,1.28,92,0,User_Abandoned_App
3db705ea,02-03-2026 09:56,0,9,Peenya,Malleshwaram,6.2,40,Heavy,Clear,iOS,Mid-Range,14,4,15,0.9,93,1.65,153,-30,Ride_Accepted
504f805f,10-06-2026 20:21,2,20,Indiranagar,Hebbal,5.8,33,Heavy,Clear,Android,Premium,74,4,12,0.61,87,1.44,125,-23,User_Abandoned_App
37843857,18-04-2026 02:36,5,2,Whitefield,Hebbal,4.7,18,Free-Flow,Clear,Android,Premium,99,3,10,0.47,70.5,1.11,78,7,User_Abandoned_App
90689c8c,07-03-2026 07:15,5,7,Peenya,Marathahalli,3.2,15,Moderate,Light Rain,Android,Mid-Range,46,2,10,0.9,48,1.1,53,7,Ride_Accepted
d8bc5346,18-05-2026 19:45,0,19,Indiranagar,Malleshwaram,5,28,Heavy,Clear,Android,Mid-Range,20,3,38,0.62,75,1.17,88,-9,Ride_Accepted
f6ef54ea,21-07-2026 22:34,1,22,Indiranagar,HSR Layout,11.7,39,Free-Flow,Clear,Android,Budget,24,1,1,0.71,175.5,0.93,163,5,Ride_Accepted
95801214,08-08-2026 12:08,5,12,Whitefield,Hebbal,12.1,36,Free-Flow,Clear,Android,Budget,12,3,34,0.85,181.5,0.98,179,-1,Ride_Accepted
f8d5a02f,09-05-2026 18:39,5,18,HSR Layout,Marathahalli,9.1,88,Gridlock,Heavy Downpour,Android,Mid-Range,78,2,13,0.85,136.5,2.06,281,21,User_Abandoned_App
d8ad39aa,18-04-2026 16:25,5,16,Malleshwaram,Koramangala,7.6,20,Free-Flow,Clear,Android,Mid-Range,78,3,4,0.64,114,1.03,117,20,Ride_Accepted
0cef7b55,11-04-2026 19:40,5,19,Marathahalli,Malleshwaram,7.2,58,Heavy,Heavy Downpour,Android,Mid-Range,100,6,40,0.9,108,1.71,184,24,User_Abandoned_App
4560cf5f,06-07-2026 09:11,0,9,Malleshwaram,Whitefield,6.7,53,Gridlock,Clear,Android,Mid-Range,19,7,13,0.74,100.5,1.42,142,53,Ride_Accepted
2c9de301,31-07-2026 14:42,4,14,Hebbal,Malleshwaram,11.3,33,Free-Flow,Clear,iOS,Premium,98,2,29,0.35,169.5,1.08,183,-11,Ride_Accepted
2dd9e63d,28-05-2026 18:00,3,18,Marathahalli,Malleshwaram,33.8,180,Gridlock,Clear,iOS,Premium,100,7,44,0.9,507,1.64,830,9,Cancelled_By_Driver
c918845e,14-04-2026 07:37,1,7,Hebbal,Electronic City,14.6,95,Free-Flow,Thunderstorm,Android,Budget,3,3,17,0.57,219,1.54,337,-17,Cancelled_By_Driver
c5ee3b10,29-05-2026 06:37,4,6,Peenya,Malleshwaram,11.7,35,Free-Flow,Clear,Android,Premium,12,3,16,0.48,175.5,1.1,194,4,Ride_Accepted
6a374179,30-06-2026 10:34,1,10,Koramangala,Peenya,9.3,40,Moderate,Clear,iOS,Premium,33,3,23,0.68,139.5,1.16,162,9,User_Abandoned_App
3d2cf65e,08-03-2026 06:05,6,6,Whitefield,Bellandur,10.4,29,Free-Flow,Clear,iOS,Mid-Range,39,2,10,0.62,156,0.99,154,41,Cancelled_By_Driver
5b91ab41,28-06-2026 08:55,6,8,Marathahalli,Koramangala,10.1,61,Heavy,Clear,iOS,Premium,68,2,16,0.89,151.5,1.44,218,40,Ride_Accepted
7374c1fb,29-07-2026 15:09,2,15,Marathahalli,HSR Layout,13.4,42,Free-Flow,Clear,iOS,Premium,13,3,17,0.69,201,1.24,248,40,Ride_Accepted
afc6d96f,22-06-2026 07:56,0,7,Peenya,Hebbal,9.4,26,Free-Flow,Clear,Android,Premium,98,4,3,0.65,141,1.13,159,6,Ride_Accepted
673772ee,30-07-2026 16:08,3,16,HSR Layout,Bellandur,4.3,11,Light,Light Rain,Android,Premium,56,3,24,0.66,64.5,1.06,68,-5,Ride_Accepted
3bd889d9,13-06-2026 10:34,5,10,Indiranagar,Bellandur,8.2,49,Heavy,Clear,Android,Mid-Range,38,3,5,0.75,123,1.25,153,0,Ride_Accepted
ac3449cd,07-03-2026 22:23,5,22,Peenya,Marathahalli,11.4,35,Light,Clear,Android,Budget,44,4,22,0.9,171,1.09,187,-19,User_Abandoned_App
ddac9149,19-05-2026 18:45,1,18,Bellandur,HSR Layout,11.9,72,Heavy,Clear,iOS,Premium,83,2,8,0.53,178.5,1.31,235,-5,User_Abandoned_App
52b32c46,21-06-2026 17:08,6,17,Indiranagar,HSR Layout,5.1,24,Heavy,Light Rain,iOS,Premium,93,2,44,0.6,76.5,1.37,105,-15,User_Abandoned_App
88a33703,06-06-2026 08:50,5,8,Whitefield,Indiranagar,12.7,93,Gridlock,Clear,iOS,Premium,4,2,20,0.65,190.5,1.66,316,-1,Ride_Accepted
4f804d62,21-07-2026 17:15,1,17,Indiranagar,HSR Layout,18.3,136,Gridlock,Light Rain,Android,Budget,63,3,21,0.78,274.5,1.51,413,30,Ride_Accepted
cba8ac1f,07-06-2026 09:23,6,9,HSR Layout,Electronic City,7.4,58,Gridlock,Clear,iOS,Premium,45,6,34,0.81,111,1.88,209,-16,User_Abandoned_App
d1ae813f,01-08-2026 13:48,5,13,Indiranagar,HSR Layout,8.4,61,Free-Flow,Thunderstorm,Android,Premium,58,2,29,0.89,126,2.13,268,-26,User_Abandoned_App
164ce583,16-08-2026 11:09,6,11,Whitefield,Hebbal,3.6,7,Light,Clear,Android,Premium,10,1,29,0.9,54,1.19,64,-18,Cancelled_By_Driver
184240fb,04-08-2026 17:43,1,17,HSR Layout,Hebbal,12.6,94,Gridlock,Clear,Android,Budget,23,6,39,0.61,189,1.38,260,-7,Ride_Accepted
8dc9326c,21-05-2026 13:31,3,13,Malleshwaram,Electronic City,5.3,13,Light,Clear,Android,Premium,82,2,42,0.63,79.5,1.13,90,5,Ride_Accepted
bdfc419a,28-04-2026 15:50,1,15,Marathahalli,Electronic City,6.2,20,Light,Light Rain,Android,Premium,16,1,38,0.46,93,1.21,113,-14,Ride_Accepted
f9cfc020,07-04-2026 13:30,1,13,Marathahalli,Whitefield,14.9,42,Light,Light Rain,Android,Budget,48,1,44,0.84,223.5,1,223,26,User_Abandoned_App
2bffe51e,10-03-2026 18:56,1,18,Hebbal,Malleshwaram,9.4,58,Heavy,Light Rain,Android,Budget,100,1,27,0.38,141,1.24,175,-26,Ride_Accepted
67f7159b,17-05-2026 19:34,6,19,Malleshwaram,Electronic City,9.9,54,Heavy,Clear,Android,Mid-Range,69,3,32,0.78,148.5,1.35,200,-15,Ride_Accepted
963d4fbc,12-07-2026 10:11,6,10,Malleshwaram,Electronic City,14,109,Gridlock,Clear,iOS,Premium,84,5,18,0.9,210,1.6,336,15,User_Abandoned_App
cb27ec06,27-06-2026 12:19,5,12,Indiranagar,Hebbal,19.4,55,Free-Flow,Clear,iOS,Premium,68,3,44,0.79,291,1.31,381,16,Ride_Accepted
1b5b97f7,26-04-2026 07:56,6,7,Marathahalli,Electronic City,5.3,17,Free-Flow,Light Rain,iOS,Premium,33,1,24,0.71,79.5,1.04,83,-6,User_Abandoned_App
cc5ef224,23-07-2026 08:22,3,8,Whitefield,Marathahalli,8.2,48,Heavy,Light Rain,Android,Budget,10,3,37,0.44,123,1.09,135,10,Ride_Accepted
dd17e4ba,27-06-2026 17:33,5,17,Electronic City,Whitefield,8.8,52,Heavy,Clear,Android,Mid-Range,63,3,13,0.71,132,1.28,169,0,Ride_Accepted
6f5a63d4,26-08-2026 15:59,2,15,Electronic City,Marathahalli,19.1,56,Free-Flow,Clear,Android,Mid-Range,51,1,41,0.67,286.5,0.92,265,2,Cancelled_By_Driver
a370d8f8,01-05-2026 14:30,4,14,HSR Layout,Koramangala,7.9,19,Free-Flow,Clear,Android,Budget,62,1,30,0.9,118.5,0.98,116,-6,User_Abandoned_App
b4e2ebbc,04-07-2026 11:06,5,11,Marathahalli,Peenya,15.8,47,Free-Flow,Clear,Android,Budget,48,3,43,0.9,237,1.04,247,12,Ride_Accepted
461cf689,22-05-2026 09:22,4,9,Marathahalli,Whitefield,17.8,114,Heavy,Clear,Android,Premium,26,2,2,0.43,267,1.39,372,-23,Ride_Accepted
61f9eb5a,09-05-2026 08:41,5,8,Electronic City,Malleshwaram,8.1,47,Heavy,Clear,iOS,Mid-Range,56,3,38,0.9,121.5,1.35,164,5,User_Abandoned_App
1d4b7435,16-05-2026 19:17,5,19,Marathahalli,Indiranagar,5.4,45,Heavy,Heavy Downpour,Android,Premium,98,6,45,0.9,81,1.96,159,40,Ride_Accepted
a28056fc,28-06-2026 20:34,6,20,Indiranagar,Peenya,6.7,49,Gridlock,Clear,Android,Budget,85,3,7,0.49,100.5,1.36,137,-32,Ride_Accepted
58cbe9bd,01-05-2026 07:55,4,7,Bellandur,Malleshwaram,8,23,Free-Flow,Clear,Android,Premium,47,2,45,0.9,120,1.3,156,-28,User_Abandoned_App
fdb70ebc,01-05-2026 10:46,4,10,Koramangala,Peenya,6.8,42,Heavy,Clear,Android,Mid-Range,13,4,26,0.75,102,1.47,150,-36,Ride_Accepted
d09deb9c,19-06-2026 07:09,4,7,Malleshwaram,HSR Layout,13.5,40,Free-Flow,Clear,iOS,Premium,47,2,12,0.48,202.5,1.05,212,21,Cancelled_By_Driver
07f1601a,07-06-2026 16:04,6,16,Hebbal,HSR Layout,19.1,59,Free-Flow,Clear,iOS,Premium,62,3,5,0.79,286.5,1.25,358,-3,User_Abandoned_App
545de8d4,02-06-2026 15:45,1,15,HSR Layout,Peenya,12.7,37,Free-Flow,Light Rain,Android,Mid-Range,29,1,32,0.84,190.5,1.12,213,-21,Ride_Accepted
810a0880,04-04-2026 02:54,5,2,Bellandur,Malleshwaram,10,30,Free-Flow,Clear,Android,Mid-Range,56,4,15,0.83,150,1.13,170,7,Ride_Accepted
a493519b,20-08-2026 08:45,3,8,Electronic City,HSR Layout,9.6,64,Gridlock,Clear,iOS,Premium,100,2,17,0.83,144,1.54,222,-2,User_Abandoned_App
4a564e89,05-04-2026 08:26,6,8,Malleshwaram,Hebbal,13.3,79,Heavy,Light Rain,iOS,Premium,34,2,45,0.9,199.5,1.46,292,-15,Ride_Accepted
269b527e,21-07-2026 16:33,1,16,Marathahalli,Whitefield,6.4,19,Light,Clear,iOS,Premium,86,4,28,0.65,96,1.11,107,-9,User_Abandoned_App
a565d39b,08-04-2026 07:50,2,7,Hebbal,HSR Layout,17.7,54,Free-Flow,Clear,Android,Mid-Range,84,1,46,0.9,265.5,1.12,297,-12,Ride_Accepted
81409283,10-03-2026 19:38,1,19,Marathahalli,Indiranagar,13.3,101,Gridlock,Clear,iOS,Premium,8,5,30,0.7,199.5,1.87,373,-2,Ride_Accepted
fdfe39dd,10-05-2026 05:40,6,5,Whitefield,Indiranagar,9.6,28,Free-Flow,Clear,iOS,Premium,87,2,36,0.9,144,1.29,185,-17,User_Abandoned_App
bd430e76,13-04-2026 07:04,0,7,Whitefield,Koramangala,18.6,56,Free-Flow,Clear,Android,Mid-Range,78,3,29,0.67,279,0.92,256,-2,Ride_Accepted
91aa2dee,12-08-2026 02:26,2,2,Hebbal,Indiranagar,15.1,43,Free-Flow,Clear,Android,Mid-Range,84,3,40,0.72,226.5,1.01,230,-15,Ride_Accepted
7d3e273d,26-04-2026 22:36,6,22,Hebbal,Marathahalli,10.1,38,Moderate,Clear,iOS,Premium,27,2,19,0.6,151.5,1.15,175,4,Ride_Accepted
5c928089,22-06-2026 18:29,0,18,Electronic City,Peenya,7.3,38,Heavy,Light Rain,Android,Mid-Range,16,4,20,0.58,109.5,1.2,131,13,User_Abandoned_App
5d08b556,24-06-2026 16:55,2,16,Hebbal,Peenya,21.3,65,Free-Flow,Clear,iOS,Premium,48,2,39,0.9,319.5,1.36,434,9,Cancelled_By_Driver
